Generacion: 1
N		 inicial		x^2		seleccion		cruza		mutacion		
3		00101			25			00111			00101			00101
4		00100			16			00101			00111			00111
5		00101			25			00100			00100			00100
6		00100			16			11100			11100			11100
7		10111			529			11000			11111			11111
8		11100			784			11111			11000			11000
9		11000			576			11111			11111			11111
10		11111			961			11111			11111			11111
11		00111			49			00100			00100			00110
12		00111			49			00100			00100			00100
13		00100			16			00111			00100			00100
14		00110			36			00100			00111			01111
15		11111			961			11100			11111			11111
16		00100			16			00111			00100			00100
17		00000			0			11111			11000			11000
18		11111			961			11000			11111			11111
19		11111			961			11111			11111			11111
20		00111			49			11111			11111			11111
21		10111			529			00100			00111			00111
22		11111			961			11111			11100			11100
23		00100			16			00100			00111			00111
24		11111			961			00111			00100			00100
25		00100			16			00111			00100			00100
26		00110			36			00100			00111			00111
27		11111			961			00100			00111			00111
28		00111			49			11111			11100			11100
29		00100			16			00100			00111			00111
30		00111			49			11111			11100			11100
31		00111			49			00111			00111			00111
32		00110			36			11111			11111			11111
Generacion: 7
N		 inicial		x^2		seleccion		cruza		mutacion		
1		00111			49			11111			11111			11111
2		00101			25			11111			11111			11111
3		00101			25			00100			00111			00111
4		00111			49			00111			00100			00100
5		00100			16			00111			00111			00111
6		11100			784			11111			11111			11111
7		11111			961			11111			11111			11111
8		11000			576			11111			11111			11111
9		11111			961			00111			00111			00111
10		11111			961			11111			11111			11111
11		00110			36			00110			00110			00111
12		00100			16			00110			00110			00110
13		00100			16			00111			00100			00100
14		01111			225			00100			00111			00111
15		11111			961			00100			00111			00111
16		00100			16			11111			11100			11100
17		11000			576			00111			00111			00111
18		11111			961			00111			00111			00111
19		11111			961			11111			11100			11100
20		11111			961			00100			00111			00111
21		00111			49			00111			00111			00111
22		11100			784			11111			11111			11111
23		00111			49			00110			00111			00111
24		00100			16			11111			11110			11110
25		00100			16			11111			11111			11111
26		00111			49			11111			11111			11111
27		00111			49			11111			11111			11111
28		11100			784			11111			11111			11111
29		00111			49			11111			11110			11110
30		11100			784			00110			00111			00111
31		00111			49			00100			00100			00100
32		11111			961			11100			11100			11100
Generacion: 8
N		 inicial		x^2		seleccion		cruza		mutacion		
1		11111			961			00111			00111			00111
2		11111			961			00111			00111			00111
3		00111			49			11111			11111			11111
4		00100			16			11111			11111			11111
5		00111			49			11110			11111			11111
6		11111			961			11111			11110			11110
7		11111			961			00100			00111			01111
8		11111			961			00111			00100			00100
9		00111			49			00111			00100			00100
10		11111			961			11100			11111			11111
11		00111			49			11111			11111			11111
12		00110			36			11111			11111			11111
13		00100			16			11111			11111			11111
14		00111			49			11111			11111			11111
15		00111			49			00111			00100			00100
16		11100			784			00100			00111			00111
17		00111			49			11111			11111			11111
18		00111			49			11111			11111			11111
19		11100			784			11111			11111			11111
20		00111			49			11111			11111			11111
21		00111			49			00111			00111			00111
22		11111			961			11111			11111			11111
23		00111			49			11111			11111			11111
24		11110			900			00111			00111			00111
25		11111			961			00111			00110			00110
26		11111			961			00110			00111			00111
27		11111			961			11111			11111			11111
28		11111			961			00111			00111			00111
29		11110			900			11111			11111			11111
30		00111			49			11111			11111			11111
31		00100			16			00111			00111			00111
32		11100			784			00111			00111			00111
Generacion: 9
N		 inicial		x^2		seleccion		cruza		mutacion		
1		00111			49			11111			11111			11111
2		00111			49			11111			11111			11111
3		11111			961			11111			11111			11111
4		11111			961			11111			11111			11111
5		11111			961			00111			00111			00111
6		11110			900			01111			01111			11111
7		01111			225			11111			11111			11111
8		00100			16			01111			01111			01111
9		00100			16			11111			11111			11111
10		11111			961			11111			11111			11111
11		11111			961			00111			00111			10111
12		11111			961			01111			01111			01111
13		11111			961			00100			00111			00111
14		11111			961			00111			00100			00100
15		00100			16			00111			00111			00111
16		00111			49			00111			00111			00111
17		11111			961			00111			00100			00100
18		11111			961			00100			00111			00111
19		11111			961			11111			11111			11111
20		11111			961			00111			00111			00111
21		00111			49			11111			11111			11111
22		11111			961			11111			11111			11111
23		11111			961			11111			11111			11111
24		00111			49			00111			00111			00111
25		00110			36			01111			01111			01111
26		00111			49			11111			11111			11111
27		11111			961			00111			00111			00111
28		00111			49			11111			11111			11111
29		11111			961			11111			11111			11111
30		11111			961			00111			00111			00111
31		00111			49			11111			11111			11111
32		00111			49			00111			00111			00111
Generacion: 10
N		 inicial		x^2		seleccion		cruza		mutacion		
1		11111			961			11111			11111			11111
2		11111			961			11111			11111			11111
3		11111			961			01111			01111			01111
4		11111			961			00111			00111			00111
5		00111			49			00111			00111			00111
6		11111			961			11111			11111			11111
7		11111			961			11111			11111			11111
8		01111			225			01111			01111			01111
9		11111			961			00111			00111			00111
10		11111			961			11111			11111			11111
11		10111			529			00111			00111			10111
12		01111			225			11111			11111			11111
13		00111			49			00111			00111			00111
14		00100			16			00111			00111			00111
15		00111			49			00111			00111			00111
16		00111			49			00111			00111			00111
17		00100			16			00111			00111			00111
18		00111			49			10111			10111			10111
19		11111			961			11111			11111			11111
20		00111			49			11111			11111			11111
21		11111			961			00111			00111			10111
22		11111			961			00111			00111			00111
23		11111			961			00111			00111			00111
24		00111			49			11111			11111			11111
25		01111			225			11111			11111			11111
26		11111			961			11111			11111			11111
27		00111			49			00111			00111			00111
28		11111			961			11111			11111			11111
29		11111			961			11111			11111			11111
30		00111			49			11111			11111			11111
31		11111			961			11111			11111			11111
32		00111			49			10111			10111			10111
Generacion: 11
N		 inicial		x^2		seleccion		cruza		mutacion		
1		11111			961			11111			11111			11111
2		11111			961			00111			00111			00111
3		01111			225			11111			11111			11111
4		00111			49			11111			11111			11111
5		00111			49			11111			11111			11111
6		11111			961			00111			00111			00111
7		11111			961			11111			11111			11111
8		01111			225			10111			10111			10111
9		00111			49			11111			11111			11111
10		11111			961			01111			01111			11111
11		10111			529			10111			10111			11111
12		11111			961			01111			01111			01111
13		00111			49			11111			11111			11111
14		00111			49			11111			11111			11111
15		00111			49			10111			10111			10111
16		00111			49			11111			11111			11111
